acctsessionid,acctstarttime,upload,download,acctsessiontime,callingstationid,calledstationid,calledstation_ssid
65,231b5757783e75073599d7473385f1cede006da822a51e6556e7c063dbe20b8f,2024-09-12 03:00:00,0,0,122667.0,f37f5b4325ebdc2d6f6c8c88ae63b5fc6c63fa83c17861ac6a5b9971f5e04fd6,8f23d968556eb79aa136acb7fd3dc84798e43dd6e1f1aa1fa963083570918dd3,Porto. Free Wi-Fi
66,a7b3168e56f095f9aeaa3c64d6f7f9a78863c380bb90df01a5b460d3d46ab589,2024-09-12 07:00:00,0,0,0.0,5f894c49e92a470a9a6640206e2b2f939ff3346b0db6b24f36e853ef10514f9e,1f0e40ed226098605a8b5ba0fb68b628913aa12f56c899a8d0b80acccd980f3b,Porto. Free Wi-Fi
67,b3e32c75d1e0e67ec95979e722b8c8865da7dc956e2f2babe3c48d55df676f47,2024-09-12 02:00:00,0,0,6.0,e6dacde7d117bf71b66781e5afb89f35d5b2d46ad47e3fcaa1e71a6cb8e8e233,90262c26680d2525940e71e2cdaaa5604f5844fa4dff93bdc3d4d6bdb9620c9b,eduroam
68,30ef8f67975d8c6f61f17793de733426e9d259a2620dfd299898b95fa52987d0,2024-09-12 05:00:00,2,21,10.0,4fcee32e0202dd8bd511817b5ac92d2a15d4eb7e71d198a3734fef329563c253,81fc66ca77e56b922c0f76a5af15bd7db07849296f6eb99db7e709feed9d890b,Porto. Free Wi-Fi
69,747b631c575a16bd54d9d452333dd49164e3027c122acddcfe638db2c4e0ff13,2024-09-12 07:00:00,0,0,0.0,aff5b7218430106765dad78c04de81fdbb3dce02e7c78be970ad3be3a50c5ba8,4cad16c07e8c4d222c35d87e0e91ca7f748373f1733a74e0cd7c6e2a295726b4,Porto. Free Wi-Fi
70,ae64f705db43455823c02a904243b538f0bdf17690feb025ab0d7011fe020094,2024-09-12 06:00:00,1,1,2.0,aff5b7218430106765dad78c04de81fdbb3dce02e7c78be970ad3be3a50c5ba8,4cad16c07e8c4d222c35d87e0e91ca7f748373f1733a74e0cd7c6e2a295726b4,Porto. Free Wi-Fi
71,79de9cdb5cb79444772fc3441c6d038f072245b710d53fea68080b955671a9b6,2024-09-12 02:00:00,0,0,0.0,aff5b7218430106765dad78c04de81fdbb3dce02e7c78be970ad3be3a50c5ba8,f7e65d06ecc77fb0b1d76fdcc33f153f56f2d6a5c8f69953cbfa10cc3c911738,Porto. Free Wi-Fi
72,49b5c8480f5359a76d3e34a9ddcb8b3700d46ad2e81cf428ee7a543ee86cebf2,2024-09-12 06:00:00,6,53,24.0,9f94a63d538f934573b9d681e667cfc927181a346766ec9abe6a2dd85986e491,99f2a505a6dd020059758ce68eb487950642769def00d9a13615644dd1416e78,eduroam
73,ae858a640699ad48c97074817948160d107adaaab5c5b209ea39ca209fc591e0,2024-09-12 07:00:00,0,0,0.0,b2de52c6baaee64f2e9269077bbf78d0bfbac0cbf75620cb25051981f2337677,011af1da43573fdcf8102678c4d1dac93ca550e35cb25d21740bc8c443a4203c,Porto. Free Wi-Fi
74,91f8729c5628ed22a22df90a3d1c1615f62ed95c0453e4f3693d4d7d362ca5fe,2024-09-12 04:00:00,0,0,3.0,aff5b7218430106765dad78c04de81fdbb3dce02e7c78be970ad3be3a50c5ba8,a9623ebc2984a20de78d660be9953231f9a2357415fdaca372ac8480fd811ae5,Porto. Free Wi-Fi
